Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
China,Western Pacific Region of WHO,Eastern Asia,2014,47,2014-11-17,2014-11-23,12606,9780,0,18,752,0,4,774,67,2,11,80,854,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,48,2014-11-24,2014-11-30,12457,8622,0,25,809,0,3,837,53,1,15,69,906,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,49,2014-12-01,2014-12-07,12756,8952,0,19,1213,0,12,1244,58,1,16,75,1319,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,50,2014-12-08,2014-12-14,13026,9179,0,23,1570,0,3,1596,116,5,19,140,1736,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,51,2014-12-15,2014-12-21,13657,9318,0,9,1952,0,0,1961,184,0,9,193,2154,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,52,2014-12-22,2014-12-28,13647,9193,0,29,2085,0,2,2117,309,9,46,364,2481,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,1,2014-12-29,2015-01-04,13282,8370,0,9,1985,0,6,2000,356,3,41,400,2400,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,2,2015-01-05,2015-01-11,14001,10194,0,25,2620,0,6,2651,635,13,15,663,3314,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,3,2015-01-12,2015-01-18,14681,11088,0,17,2394,0,4,2415,828,14,62,904,3319,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,4,2015-01-19,2015-01-25,15738,11085,0,16,2657,0,16,2690,890,22,69,981,3671,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,5,2015-01-26,2015-02-01,16217,10487,0,24,2747,0,3,2774,833,36,69,938,3712,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,6,2015-02-02,2015-02-08,15712,9912,0,15,2240,0,1,2256,793,16,109,918,3174,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,7,2015-02-09,2015-02-15,15807,9588,0,10,1674,0,1,1685,831,24,131,986,2671,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,8,2015-02-16,2015-02-22,12114,7481,0,13,1267,0,0,1280,675,14,93,782,2062,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,9,2015-02-23,2015-03-01,14534,9067,0,21,1302,0,3,1327,837,22,121,980,2307,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,10,2015-03-02,2015-03-08,14971,10513,0,43,1057,0,0,1100,833,20,115,968,2068,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,11,2015-03-09,2015-03-15,14689,10182,0,35,917,0,0,952,1005,26,144,1175,2127,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,12,2015-03-16,2015-03-22,14847,9276,0,26,770,0,0,796,877,27,230,1134,1930,,Local Outbreak
